cik,fyear,company_name,tic,status_label,current_assets,total_assets,cost_of_goods_sold,total_long_term_debt,depreciation_and_amortization,ebit,ebitda,gross_profit,inventory,total_current_liabilities,net_income,retained_earnings,total_receivables,total_revenue,market_value,total_liabilities,net_sales,total_operating_expenses,status
61478,2007.0,ADC TELECOMMUNICATIONS INC,ADCT,alive,1008.2,1764.8,827.5,200.6,67.2,100.7,167.9,494.7,170.2,474.1,106.3,-448.2,223.7,1322.2,2199.12,757.2,1322.2,1154.3,0
61478,2008.0,ADC TELECOMMUNICATIONS INC,ADCT,alive,1077.4,1921.0,870.7,650.7,82.4,90.9,173.3,585.7,162.7,278.0,-41.9,-505.6,240.6,1456.4,705.6419999999999,1006.8,1456.4,1283.1,0
61478,2009.0,ADC TELECOMMUNICATIONS INC,ADCT,alive,900.2,1343.6,600.5,651.0,66.4,18.3,84.7,396.2,131.1,236.0,-474.3,-979.3,200.3,996.7,805.6439999999999,987.4,996.7,912.0,0
61478,2010.0,ADC TELECOMMUNICATIONS INC,ADCT,alive,1107.7,1474.5,677.2,650.8,61.5,59.9,121.4,479.4,106.4,288.7,62.0,-918.4,252.5,1156.6,1231.524,1040.1,1156.6,1035.2,0
730469,2004.0,ALPHARMA INC  -CL A,ALO.2,alive,672.072,2003.842,719.2260000000001,10.0,87.21600000000001,66.613,153.829,620.254,310.004,1040.406,-314.737,-185.823,226.591,1339.48,895.299,1120.2,1339.48,1185.651,0
730469,2005.0,ALPHARMA INC  -CL A,ALO.2,alive,1037.047,1623.3829999999998,150.257,0.017,67.10600000000001,95.995,163.101,403.36,92.741,665.257,133.769,-175.285,90.898,553.617,1541.7638,705.305,553.617,390.516,0
730469,2006.0,ALPHARMA INC  -CL A,ALO.2,alive,353.541,927.239,229.115,0.0,42.873000000000005,96.041,138.914,424.713,106.958,155.57299999999998,82.544,-89.73700000000001,107.847,653.828,1038.6859,203.24,653.828,514.914,0
730469,2007.0,ALPHARMA INC  -CL A,ALO.2,alive,581.502,1288.165,267.81,300.0,46.338,-5.522,40.816,454.615,125.963,198.375,-13.581,-95.949,130.246,722.425,882.4491,557.038,722.425,681.6089999999999,0
6201,2007.0,AMERICAN AIRLINES GROUP INC,AAL,failed,7229.0,28571.0,18026.0,10093.0,1064.0,1029.0,2093.0,4870.0,601.0,8483.0,504.0,-720.0,1027.0,22896.0,3499.0539,25914.0,22896.0,20803.0,1
6201,2008.0,AMERICAN AIRLINES GROUP INC,AAL,failed,5935.0,25175.0,20232.0,9001.0,1083.0,-573.0,510.0,3534.0,525.0,9374.0,-2071.0,-6638.0,811.0,23766.0,2976.3858,28110.0,23766.0,23256.0,1
6201,2009.0,AMERICAN AIRLINES GROUP INC,AAL,failed,6642.0,25438.0,16935.0,10583.0,1007.0,-745.0,262.0,2982.0,557.0,7728.0,-1468.0,-7860.0,768.0,19917.0,2571.1835,28927.0,19917.0,19655.0,1
6201,2010.0,AMERICAN AIRLINES GROUP INC,AAL,failed,6838.0,25088.0,18138.0,9253.0,995.0,308.0,1303.0,4032.0,594.0,8780.0,-471.0,-8362.0,738.0,22170.0,2597.5755,29033.0,22170.0,20867.0,1
2601,2003.0,AEROFLEX INC,ARXX,alive,211.238,330.616,163.447,10.956,14.677,14.795,29.472,128.333,74.738,49.682,6.395,29.474,65.243,291.78,461.7062,72.20100000000002,291.78,262.308,0
2601,2004.0,AEROFLEX INC,ARXX,alive,327.48,551.391,207.283,5.505,21.856,40.255,62.111,206.818,94.617,89.615,12.147,49.192,97.031,414.101,1060.6898,124.294,414.101,351.99,0
2601,2005.0,AEROFLEX INC,ARXX,alive,262.803,589.849,229.243,4.19,24.412,38.17,62.582,234.128,118.906,101.054,17.041,63.86600000000001,101.317,463.371,626.7576,145.869,463.371,400.789,0
2601,2006.0,AEROFLEX INC,ARXX,alive,328.35400000000004,638.0219999999999,275.636,3.5580000000000003,30.469,47.473,77.942,276.21,133.42,119.215,26.959,95.273,120.296,551.846,878.4009,150.352,551.846,473.904,0
1923,2007.0,SERVIDYNE INC,SERV.1,alive,17.5,52.316,11.108,19.71,0.759,-3.052,-2.293,6.648,0.635,3.731,1.336,14.511,3.609,17.756,21.0984,29.85,17.756,20.049,0
1923,2008.0,SERVIDYNE INC,SERV.1,alive,10.602,43.645,10.115,19.221,0.821,-4.126,-3.305,6.341,1.063,3.571,-4.587,8.57,3.133,16.456,8.3439,26.106,16.456,19.761,0
1923,2009.0,SERVIDYNE INC,SERV.1,alive,8.726,40.952,13.048,5.94,0.39,-4.269,-3.879,5.513999999999999,1.4240000000000002,5.195,-1.885,6.07,4.408,18.562,12.4988,25.762,18.562,22.441,0
1923,2010.0,SERVIDYNE INC,SERV.1,alive,9.513,26.228,18.932,5.7,0.337,-2.714,-2.377,7.226,2.359,5.95,-2.319,3.603,4.005,26.158,8.5651,13.347,26.158,28.535,0
2589,1999.0,AERO SYSTEMS ENGINEERING INC,AERS.,alive,15.055,20.684,24.663,0.171,0.925,0.14,1.065,6.398,5.859,15.621,-0.645,2.489,8.305,31.061,6.603,16.414,31.061,29.996,0
2589,2000.0,AERO SYSTEMS ENGINEERING INC,AERS.,alive,14.026,19.21,22.7,0.12,1.1,0.905,2.005,7.946000000000001,6.893,13.919,0.331,2.821,6.361000000000001,30.646,6.603,14.609000000000002,30.646,28.641,0
