,company_name,tic,current_assets,total_assets,cost_of_goods_sold,total_long_term_debt,depreciation_and_amortization,ebit,ebitda,gross_profit,inventory,total_current_liabilities,net_income,retained_earnings,total_receivables,total_revenue,market_value,total_liabilities,net_sales,total_operating_expenses
3952,STRATUS PROPERTIES INC,STRS,4.518,129.47799999999998,8.977,25.576,0.133,2.794,2.927,5.852,0.0,4.377,3.94,-91.588,0.74,14.829,60.4605,34.819,14.829,11.902
3953,STRATUS PROPERTIES INC,STRS,2.221,139.44,7.556,42.483,0.8759999999999999,-1.146,-0.27,4.013,0.0,7.046,-0.521,-92.442,0.7140000000000001,11.569,65.4764,52.82100000000001,11.569,11.839
3954,STRATUS PROPERTIES INC,STRS,4.435,142.43,8.916,47.105,1.3130000000000002,0.18,1.493,5.506,0.0,5.222,0.02,-92.541,0.828,14.422,71.7068,55.609,14.422,12.929
3955,STRATUS PROPERTIES INC,STRS,0.8109999999999999,152.861,13.872,54.11600000000001,1.521,0.86,2.381,7.018,0.0,5.263999999999999,0.672,-92.258,0.392,20.89,115.7526,64.665,20.89,18.509
8336,STRATUS SERVICES GROUP INC,SSVG,20.025,27.907,96.325,1.388,0.809,-0.655,0.154,14.174,0.0,31.026,-1.086,-22.842,16.771,110.499,11.7754,32.414,110.499,110.345
8337,STRATUS SERVICES GROUP INC,SSVG,14.938,18.798,96.236,1.189,0.7090000000000001,-1.364,-0.655,16.21,0.0,27.035,-0.368,-22.214,14.115,112.446,1.2744,28.674,112.446,113.101
8338,STRATUS SERVICES GROUP INC,SSVG,1.863,2.015,3.452,0.868,0.153,-1.556,-1.403,1.679,0.0,9.202,1.442,-20.772,1.022,5.131,0.7858,10.07,5.131,6.534
8339,STRATUS SERVICES GROUP INC,SSVG,1.75,3.805,5.63,1.251,0.087,-0.479,-0.392,2.58,0.0,9.787,-0.284,-21.056,1.281,8.21,1.6349,11.038,8.21,8.602
9748,STREAM GLOBAL SERVICES INC,SGS,146.856,329.945,128.278,69.108,10.982,5.229,16.211,83.095,0.0,79.392,0.7959999999999999,-9.588,110.944,211.373,38.9197,182.283,211.373,195.162
9749,STREAM GLOBAL SERVICES INC,SGS,227.386,680.823,342.19300000000004,218.159,36.422,6.7,43.122,242.576,0.0,115.337,-28.573,-33.704,178.545,584.769,473.7152,377.412,584.769,541.6469999999999
9750,STREAM GLOBAL SERVICES INC,SGS,235.89,647.985,471.42800000000005,227.69,65.903,-2.863,63.04,328.745,0.0,118.608,-53.475,-84.554,181.365,800.173,316.399,388.267,800.173,737.133
9751,STREAM GLOBAL SERVICES INC,SGS,218.371,618.034,494.426,249.738,60.322,25.907,86.229,352.481,0.0,121.932,-23.637,-119.516,166.607,846.9069999999999,251.3879,404.59,846.9069999999999,760.678
1792,STRIDE RITE CORP,SRR,270.1,345.217,327.144,0.0,13.47,38.643,52.113,222.98,81.925,63.975,25.488000000000003,408.19,51.058,550.124,455.1522,77.501,550.124,498.011
1793,STRIDE RITE CORP,SRR,255.179,321.296,333.245,0.0,12.483,40.406,52.889,225.079,87.79,57.739,25.654,424.749,47.73,558.3240000000001,395.3361,74.434,558.3240000000001,505.435
1794,STRIDE RITE CORP,SRR,252.686,438.854,340.72,60.0,13.059,43.77,56.82899999999999,247.444,116.095,73.02199999999999,24.567,239.11900000000003,70.747,588.164,501.4963,172.176,588.164,531.335
1795,STRIDE RITE CORP,SRR,243.651,457.887,399.03,54.2,15.583,60.261,75.844,307.725,119.917,66.878,34.29,260.68,82.927,706.755,567.6972,161.158,706.755,630.911
7680,STUDENT ADVANTAGE INC,3STUA,43.141000000000005,60.79600000000001,16.761,0.1,0.867,-19.613,-18.746,10.883,0.0,19.002,-19.555,-44.058,4.527,27.644,786.2141,19.102,27.644,46.39
7681,STUDENT ADVANTAGE INC,3STUA,23.423,55.662,23.649,1.861,2.925,-25.013,-22.088,24.365,0.0,19.166,-24.946,-69.00399999999999,5.982,48.014,168.3893,21.027,48.014,70.102
