,company_name,tic,current_assets,total_assets,cost_of_goods_sold,total_long_term_debt,depreciation_and_amortization,ebit,ebitda,gross_profit,inventory,total_current_liabilities,net_income,retained_earnings,total_receivables,total_revenue,market_value,total_liabilities,net_sales,total_operating_expenses
7682,STUDENT ADVANTAGE INC,3STUA,16.895,58.131,23.473000000000003,13.464,13.946,-28.108,-14.162,41.89,1.863,26.158,-35.788000000000004,-108.884,6.162999999999999,65.363,59.8891,46.34,65.363,79.525
7683,STUDENT ADVANTAGE INC,3STUA,10.193,38.489,22.972,0.108,9.005,-21.429,-12.424,34.306,1.4240000000000002,38.547,-15.93,-124.814,2.948,57.278,2.0916,39.342,57.278,69.702
9752,SUCCESSFACTORS INC,SFSF,155.755,170.426,34.951,0.019,3.885,-66.939,-63.054,76.962,0.0,152.72799999999998,-64.952,-206.33900000000003,44.446000000000005,111.913,321.3826,175.80200000000005,111.913,174.967
9753,SUCCESSFACTORS INC,SFSF,392.487,408.697,31.359,0.0,3.964,-12.122,-8.158,121.695,0.0,182.916,-12.634,-218.988,57.611,153.054,1189.5818,206.194,153.054,161.21200000000002
9754,SUCCESSFACTORS INC,SFSF,452.025,577.413,49.591,0.0,7.117999999999999,-25.449,-18.331,156.335,0.0,267.222,-12.45,-228.091,80.44,205.926,2233.8875,306.084,205.926,224.257
9755,SUCCESSFACTORS INC,SFSF,310.138,825.46,94.503,0.0,19.235,-62.135,-42.9,233.444,0.0,386.405,-35.952,-264.22700000000003,116.755,327.94699999999995,3381.3747,411.325,327.94699999999995,370.847
3380,SUCCESSORIES INC,3SCES,14.336,29.749,20.855,3.374,2.681,0.467,3.148,32.022,7.997999999999999,8.785,-1.127,-11.336,3.43,52.877,13.866,12.159,52.877,49.729
3381,SUCCESSORIES INC,3SCES,15.515,28.791,20.565,0.013,2.84,2.456,5.296,33.139,7.056,6.678,0.43,-11.087,3.515,53.70399999999999,14.9191,6.691,53.70399999999999,48.408
3382,SUCCESSORIES INC,3SCES,10.592,15.961,17.713,0.0,3.407,-4.881,-1.474,25.667,5.005,4.732,-10.804,-22.12,2.445,43.38,9.2954,4.732,43.38,44.854
3383,SUCCESSORIES INC,3SCES,7.765,10.725,13.992,0.0,1.7819999999999998,-2.158,-0.376,19.111,3.278,4.615,-5.103,-27.441,1.913,33.103,1.4627,4.615,33.103,33.479
1324,SUMMA INDUSTRIES,SUMX,33.778,97.565,80.83800000000001,19.845,4.927,7.842,12.769,35.403,12.313,17.477,3.929,31.325,17.594,116.241,43.0956,41.98,116.241,103.472
1325,SUMMA INDUSTRIES,SUMX,30.464,68.516,78.366,16.219,4.97,6.825,11.795,32.774,11.645,14.213,-18.785,11.803,15.729,111.14,31.5011,33.033,111.14,99.345
1326,SUMMA INDUSTRIES,SUMX,38.006,80.117,83.554,28.663,4.968,6.855,11.823,32.85,14.749,18.712,3.3710000000000004,14.724,18.227,116.404,39.5453,49.883,116.404,104.581
1327,SUMMA INDUSTRIES,SUMX,37.929,80.035,78.609,27.52,5.443,6.0120000000000005,11.455,30.374,12.665,18.854,1.558,16.042,16.919,108.983,28.9196,48.815,108.983,97.528
3552,SUMMIT AMERICA TELEVISON INC,SATH,67.332,227.294,130.392,84.336,8.935,-12.588,-3.653,69.67,15.828,45.468,-13.493,-21.574,15.892,200.062,146.0662,129.804,200.062,203.715
3553,SUMMIT AMERICA TELEVISON INC,SATH,37.364,180.017,122.353,75.484,13.935,-43.18600000000001,-29.251,55.262,9.953,28.785,-10.246,-31.82,3.793,177.615,124.6117,104.269,177.615,206.866
3554,SUMMIT AMERICA TELEVISON INC,SATH,33.191,178.08,127.26,92.596,11.72,-22.105,-10.385,68.58,13.117,32.247,-22.628,-54.448,5.575,195.84,83.90799999999999,124.843,195.84,206.225
3555,SUMMIT AMERICA TELEVISON INC,SATH,3.524,118.633,0.0,50.537,0.6890000000000001,0.252,0.941,6.705,0.0,1.42,-2.469,-46.395,0.178,6.705,173.3641,51.98,6.705,5.763999999999999
7216,SUMTOTAL SYSTEMS INC,SUMT,47.837,141.547,22.275,13.125,6.207999999999999,-7.697999999999999,-1.49,52.695,0.0,46.434,-11.116,-262.96,25.827,74.97,113.3505,63.245,74.97,76.46
7217,SUMTOTAL SYSTEMS INC,SUMT,48.136,145.063,34.965,9.36,11.774,-9.841,1.933,71.023,0.0,54.076,-11.954,-275.60200000000003,28.516,105.988,162.3639,65.83800000000001,105.988,104.055
7218,SUMTOTAL SYSTEMS INC,SUMT,80.541,171.04,40.646,4.6610000000000005,12.518,-7.212000000000001,5.306,81.278,0.0,56.87,-7.726,-283.291,26.734,121.924,152.9215,62.582,121.924,116.618
7219,SUMTOTAL SYSTEMS INC,SUMT,76.3,91.302,43.736,0.0,10.576,-1.5319999999999998,9.044,82.91,0.0,50.431,-70.041,-354.07300000000004,23.498,126.646,89.2072,52.15600000000001,126.646,117.602
4300,SUN HEALTHCARE GROUP INC,SUNH,411.338,1539.851,1535.996,707.9760000000001,40.355,120.252,160.607,288.188,0.0,239.192,109.287,-247.269,207.737,1824.184,385.3733,1134.693,1824.184,1663.5770000000002
4301,SUN HEALTHCARE GROUP INC,SUNH,439.008,1571.194,1578.8929999999998,654.132,45.463,123.254,168.717,302.906,0.0,263.404,38.671,-207.041,225.262,1881.799,401.3159,1122.13,1881.799,1713.082
4302,SUN HEALTHCARE GROUP INC,SUNH,401.191,1081.758,1623.007,144.93,48.008,102.493,150.501,283.85400000000004,0.0,228.599,-4.65,-208.661,220.46400000000003,1906.861,316.1708,569.315,1906.861,1756.36
4303,SUN HEALTHCARE GROUP INC,SUNH,368.088,755.666,1695.7,88.76799999999999,32.086,62.975,95.061,234.64,0.0,218.955,-291.766,-501.656,216.056,1930.34,97.5665,530.21,1930.34,1835.279
2236,SUN MICROSYSTEMS INC,JAVA,8273.0,15082.0,6668.0,575.0,771.0,-456.0,315.0,6400.0,540.0,6165.0,-864.0,-77.0,3041.0,13068.0,14537.45,8738.0,13068.0,12753.0
2237,SUN MICROSYSTEMS INC,JAVA,9328.0,15838.0,6888.0,1264.0,720.0,406.0,1126.0,6985.0,524.0,5451.0,473.0,503.0,3418.0,13873.0,18588.84,8659.0,13873.0,12747.0
2238,SUN MICROSYSTEMS INC,JAVA,7834.0,14340.0,6738.0,1265.0,687.0,644.0,1331.0,7142.0,680.0,5668.0,403.0,923.0,3370.0,13880.0,8181.76,8752.0,13880.0,12549.0
2239,SUN MICROSYSTEMS INC,JAVA,6864.0,11232.0,6085.0,695.0,693.0,-423.0,270.0,5364.0,566.0,5621.0,-2234.0,-1708.0,2536.0,11449.0,6933.44,7927.0,11449.0,11179.0
1804,SUNAIR SERVICES CORP,SNR.1,10.848,83.913,24.692,14.744000000000002,2.987,-2.844,0.143,30.753,2.3280000000000003,8.988999999999999,-5.78,7.218,5.617999999999999,55.445,55.9344,23.845,55.445,55.302
1805,SUNAIR SERVICES CORP,SNR.1,10.275,86.777,20.992,17.278,3.851,-2.451,1.4,43.081,1.827,11.138,-2.615,4.674,3.4810000000000003,64.07300000000001,37.9639,28.416,64.07300000000001,62.673
1806,SUNAIR SERVICES CORP,SNR.1,9.805,81.783,16.822,14.182,4.821000000000001,-3.504,1.317,39.791,1.404,15.463,-6.513,-1.928,2.597,56.613,26.5747,29.645,56.613,55.29600000000001
1807,SUNAIR SERVICES CORP,SNR.1,5.414,57.758,14.318,0.899,4.543,-1.7009999999999998,2.842,36.844,1.019,22.442,-17.957,-19.885,2.264,51.162,35.2229,23.341,51.162,48.32
7984,SUNCOM WIRELESS HOLDINGS INC,TPC.2,230.159,1519.2910000000002,352.156,1443.7879999999998,148.694,47.942,196.636,457.943,24.344,178.25599999999997,-154.09,-876.165,82.31700000000001,810.0989999999999,383.8538,1699.241,810.0989999999999,613.4630000000001
7985,SUNCOM WIRELESS HOLDINGS INC,TPC.2,643.6030000000001,2446.962,369.421,1688.318,174.37,13.995,188.365,448.779,18.216,195.361,682.5269999999999,-193.638,97.638,818.2,238.9178,2042.387,818.2,629.835
7986,SUNCOM WIRELESS HOLDINGS INC,TPC.2,501.11300000000006,2000.219,437.905,1689.351,336.755,-314.753,22.002,388.253,23.93,212.777,-496.8080000000001,-690.446,101.086,826.158,195.7531,2083.369,826.158,804.1560000000001
7987,SUNCOM WIRELESS HOLDINGS INC,TPC.2,375.31,1654.859,417.287,1689.737,269.817,-179.231,90.586,435.592,27.441,188.483,-337.37800000000004,-1027.8239999999998,111.066,852.8789999999999,49.8799,2071.751,852.8789999999999,762.293
2248,SUNGARD DATA SYSTEMS INC,0139A,1118.204,2898.158,813.2310000000001,355.474,133.332,406.4330000000001,539.765,1115.442,52.709,748.828,246.055,1045.86,524.735,1928.673,8122.734,1104.302,1928.673,1388.908
2249,SUNGARD DATA SYSTEMS INC,0139A,1135.016,3281.5959999999995,1152.739,187.96400000000003,217.161,559.756,776.9169999999999,1440.4979999999998,48.158,871.2330000000001,325.641,1420.645,518.39,2593.237,6684.8673,1059.197,2593.237,1816.32
2250,SUNGARD DATA SYSTEMS INC,0139A,1363.292,4000.107,1354.025,186.854,249.306,621.062,870.368,1601.227,70.02,1047.385,370.31,1878.334,626.7909999999999,2955.252,7995.3326,1234.239,2955.252,2084.884
2251,SUNGARD DATA SYSTEMS INC,0139A,1794.486,5194.641,1690.614,509.046,254.029,709.552,963.581,1865.257,140.57,1376.125,453.641,2397.595,803.5980000000001,3555.871,8168.3322,1943.005,3555.871,2592.29
1800,SUNOCO INC,SUN.1,2835.0,11150.0,48726.0,1705.0,515.0,1473.0,1988.0,2832.0,821.0,3937.0,776.0,5533.0,1636.0,51558.0,5079.5179,7870.0,51558.0,49570.0
1801,SUNOCO INC,SUN.1,3764.0,11895.0,27507.0,2061.0,521.0,77.0,598.0,1297.0,635.0,4418.0,-329.0,5212.0,2656.0,28804.0,3052.2645,8776.0,28804.0,28206.0
1802,SUNOCO INC,SUN.1,5726.0,13297.0,33148.0,2136.0,494.0,619.0,1113.0,1767.0,404.0,4929.0,234.0,5453.0,2679.0,34915.0,4861.1845,9498.0,34915.0,33802.0
1803,SUNOCO INC,SUN.1,6008.0,11982.0,43234.0,3159.0,394.0,305.0,699.0,1344.0,587.0,5370.0,-1684.0,3689.0,3071.0,44578.0,4381.4282,10182.0,44578.0,43879.0
5860,SUNRISE SENIOR LIVING INC,SRZ,304.908,1381.557,1541.89,163.68200000000002,51.276,-82.33200000000001,-31.056,159.753,0.0,735.421,-439.179,-320.385,130.44799999999998,1701.6429999999998,85.4666,1233.643,1701.6429999999998,1732.6989999999998
5861,SUNRISE SENIOR LIVING INC,SRZ,340.434,910.589,1331.9160000000002,0.0,44.9,-48.255,-3.355,132.22799999999998,0.0,673.559,-133.915,-452.669,62.348,1464.144,179.5214,884.355,1464.144,1467.499
5862,SUNRISE SENIOR LIVING INC,SRZ,212.81,701.4580000000001,1206.78,82.824,39.5,31.731,71.23100000000001,202.721,0.0,294.73,99.067,-359.019,61.151,1409.501,307.6689,576.901,1409.501,1338.27
5863,SUNRISE SENIOR LIVING INC,SRZ,189.113,1118.368,1161.569,450.549,35.9,-1.432,34.468,150.644,0.0,351.103,-23.39,-391.226,58.464,1312.213,373.5072,1016.475,1312.213,1277.745
4648,SUNTRON CORP,SUNN,99.173,154.64600000000002,301.464,34.011,22.133000000000003,-33.764,-11.630999999999998,11.767,61.391000000000005,49.795,-34.288000000000004,-310.375,34.39,313.231,117.8587,84.697,313.231,324.862
4649,SUNTRON CORP,SUNN,130.773,180.109,438.019,0.0,11.199000000000002,1.0590000000000002,12.258,37.369,79.202,113.62,-4.457,-314.832,50.435,475.388,86.0831,114.295,475.388,463.13
4650,SUNTRON CORP,SUNN,133.623,155.349,302.84,0.0,7.809,-5.4270000000000005,2.382,25.89,61.985,99.754,-11.342,-326.17400000000004,51.377,328.73,33.4463,100.781,328.73,326.348
4651,SUNTRON CORP,SUNN,98.026,116.913,295.158,11.353,4.597,-2.5340000000000003,2.063,25.628,56.038,60.253,-11.879,-338.05300000000005,40.756,320.786,28.9586,73.361,320.786,318.723
6156,SUPERIOR CONSULTANT HLDGS CP,SUPC,49.914,78.632,71.181,0.0,6.492999999999999,-51.715,-45.222,28.056,0.0,20.292,-57.553,-53.951,25.573,99.237,30.2225,20.292,99.237,144.459
6157,SUPERIOR CONSULTANT HLDGS CP,SUPC,35.416,58.607,51.889,0.0,4.832,-10.833,-6.001,34.832,0.0,16.383,-17.565,-69.143,14.87,86.721,90.1152,16.383,86.721,92.722
6158,SUPERIOR CONSULTANT HLDGS CP,SUPC,29.911,43.656000000000006,63.197,0.938,4.4510000000000005,-7.838999999999999,-3.388,29.428,0.0,17.551,-17.464000000000002,-86.60700000000001,12.197,92.625,28.4196,18.489,92.625,96.013
6159,SUPERIOR CONSULTANT HLDGS CP,SUPC,29.28,53.853,69.294,11.859000000000002,5.08,-1.087,3.993,30.246,0.0,18.2,-1.755,-88.36200000000001,12.74,99.54,42.4256,30.937,99.54,95.547
6160,SUPERIOR ESSEX INC,SPSX,349.983,630.971,1261.898,262.444,22.052,47.827,69.87899999999999,162.743,160.869,154.446,10.488,8.14,144.954,1424.641,319.9285,456.773,1424.641,1354.7620000000002
6161,SUPERIOR ESSEX INC,SPSX,541.539,828.192,1597.164,279.226,23.92,64.189,88.109,197.802,238.355,270.975,31.912,35.596,259.615,1794.966,347.3165,601.717,1794.966,1706.8570000000002
6162,SUPERIOR ESSEX INC,SPSX,725.325,1026.819,2637.005,292.675,27.913,123.98,151.893,301.148,289.334,287.094,57.349,96.345,335.62,2938.153,677.9343,639.165,2938.153,2786.26
6163,SUPERIOR ESSEX INC,SPSX,847.8960000000001,1215.39,2676.9040000000005,286.22900000000004,31.652,129.987,161.639,316.178,309.985,411.968,63.677,166.759,403.132,2993.0820000000003,487.44,782.1310000000002,2993.0820000000003,2831.443
7312,SUPERIOR GALLERIES INC,SPGR,9.597,9.827,15.16,0.807,0.127,-1.608,-1.481,5.195,2.497,9.955,-3.491,-14.413,6.321000000000001,20.355,2.6409,10.762,20.355,21.836
7313,SUPERIOR GALLERIES INC,SPGR,16.718,16.865,23.287,0.6,0.094,0.657,0.7509999999999999,6.71,6.107,17.005,0.552,-13.898,10.115,29.997,8.5234,17.948,29.997,29.246
7314,SUPERIOR GALLERIES INC,SPGR,19.395,19.615,31.95,0.4,0.077,-0.2,-0.123,7.585,8.714,17.879,-0.616,-14.514,9.919,39.535,14.701,18.279,39.535,39.658
7315,SUPERIOR GALLERIES INC,SPGR,19.41,19.794,38.248000000000005,0.3,0.145,-1.868,-1.723,8.068999999999999,7.592,20.319000000000003,-2.489,-17.004,6.816,46.317,4.9042,20.619,46.317,48.04
9472,SUPERIOR WELL SERVICES INC,SWSI.2,112.443,259.034,151.424,1.597,14.453,53.033,67.486,93.202,6.9510000000000005,28.4,31.923,31.178,47.325,244.626,596.9027,45.13,244.626,177.14
9473,SUPERIOR WELL SERVICES INC,SWSI.2,76.021,327.087,227.262,9.165,25.277,61.841,87.118,123.508,9.933,37.629,37.755,68.933,57.724,350.77,498.1395,73.488,350.77,263.652
9474,SUPERIOR WELL SERVICES INC,SWSI.2,148.679,658.23,364.316,210.213,41.728,69.143,110.871,156.57299999999998,27.781,60.877,38.812,107.637,106.483,520.889,236.21,320.615,520.889,410.018
9475,SUPERIOR WELL SERVICES INC,SWSI.2,140.841,570.153,355.343,163.86900000000003,72.39,-80.914,-8.524,44.12,24.991,41.928,-79.615,25.022,105.536,399.463,437.6109,243.722,399.463,407.987
1812,SWANK INC,SNKI,44.972,52.014,77.696,0.0,0.436,2.333,2.769,36.271,26.287,18.291,2.09,27.1,13.502,113.967,7.9072,24.339,113.967,111.198
1813,SWANK INC,SNKI,44.06399999999999,50.683,77.979,0.0,0.3929999999999999,4.042,4.435,36.819,23.744,14.667,1.778,28.763,16.324,114.798,17.000999999999998,21.099,114.798,110.363
1814,SWANK INC,SNKI,49.933,56.088,89.80799999999999,0.0,0.353,8.0,8.353,42.894,22.621,15.813,4.174,32.734,20.214,132.702,18.5757,22.397,132.702,124.349
1815,SWANK INC,SNKI,51.862,57.642,91.788,0.0,0.37,10.139,10.509,46.832,25.014,12.936,5.938,38.461,23.275,138.62,19.439,18.266,138.62,128.111
3368,SWIFT TRANSPORTATION CO INC,SWFT.1,357.531,1820.943,2106.012,257.894,150.602,141.041,291.643,291.643,17.57,381.82,79.37100000000001,662.189,295.922,2397.655,1764.4608,976.328,2397.655,2106.012
3369,SWIFT TRANSPORTATION CO INC,SWFT.1,465.565,2030.158,2461.826,366.787,179.808,184.567,364.375,364.375,12.989,536.47,103.482,765.7769999999999,335.556,2826.201,1544.369,1291.889,2826.201,2461.826
3370,SWIFT TRANSPORTATION CO INC,SWFT.1,454.114,2218.53,2791.786,364.0,199.777,205.892,405.669,405.669,12.948,547.716,101.127,866.8589999999999,335.463,3197.455,1494.892,1348.486,3197.455,2791.786
3371,SWIFT TRANSPORTATION CO INC,SWFT.1,486.856,2110.648,2689.226,200.0,222.376,261.188,483.564,483.564,11.621,483.57,141.055,992.343,310.44,3172.79,1972.588,1096.425,3172.79,2689.226
8268,SWITCHBOARD INC,SWBD,85.118,98.557,3.478,0.0,0.662,-20.415,-19.753,16.832,0.0,5.827000000000001,-17.018,-37.664,7.149,20.31,76.1009,7.827000000000001,20.31,40.063
8269,SWITCHBOARD INC,SWBD,43.647,65.835,7.05,0.518,1.235,-30.448,-29.213,6.276,0.0,8.65,-66.75399999999999,-103.863,2.258,13.326,59.3613,9.168,13.326,42.539
8270,SWITCHBOARD INC,SWBD,45.667,57.788,2.2230000000000003,1.124,1.521,-6.183,-4.662,9.524,0.0,5.577000000000001,-3.959,-108.589,1.7180000000000002,11.747,56.3346,6.7010000000000005,11.747,16.409000000000002
8271,SWITCHBOARD INC,SWBD,56.258,59.523,1.712,0.0,1.213,1.405,2.6180000000000003,13.48,0.0,3.181,2.074,-106.62,1.503,15.192,132.5131,3.181,15.192,12.574000000000002
8752,SYBRON DENTAL SPECIALTIES,SYD.1,205.516,569.457,189.917,337.644,20.97,95.453,116.423,266.749,89.685,70.365,31.599,60.434,80.479,456.666,531.4661,438.314,456.666,340.24300000000005
8753,SYBRON DENTAL SPECIALTIES,SYD.1,227.192,611.659,224.266,274.008,12.61,111.97,124.58,302.125,84.23899999999999,94.496,57.452,132.668,103.565,526.391,959.805,403.674,526.391,401.811
8754,SYBRON DENTAL SPECIALTIES,SYD.1,254.707,646.558,242.83,219.58900000000003,14.593,114.349,128.942,331.146,93.689,93.292,62.112,204.562,104.148,573.976,1167.0248,347.786,573.976,445.034
8755,SYBRON DENTAL SPECIALTIES,SYD.1,283.961,750.418,268.686,211.099,17.639,129.055,146.694,380.98,92.84,92.494,76.685,283.301,112.5,649.6659999999999,1679.6241,348.265,649.6659999999999,502.972
3440,SYLVAN INC,SYLN,31.563,105.774,47.937,39.871,5.233,11.914,17.147000000000002,38.01,10.398,8.539,6.682,44.559,12.74,85.947,52.4875,54.681,85.947,68.8
3441,SYLVAN INC,SYLN,33.967,107.09,49.818000000000005,37.255,5.375,10.991,16.366,36.093,10.119,10.745,5.829,46.96,13.133,85.911,61.0875,54.524,85.911,69.545
3442,SYLVAN INC,SYLN,34.437,106.806,52.109,38.162,5.642,9.06,14.702,36.083,11.425,9.847,4.669,46.64,14.399,88.19200000000001,52.8493,57.803,88.19200000000001,73.49
3443,SYLVAN INC,SYLN,37.6,113.865,59.467,33.548,6.178999999999999,5.682,11.861,35.521,12.514,10.661,2.839,56.161,15.901,94.988,63.0972,54.647,94.988,83.12700000000001
1816,SYMBOL TECHNOLOGIES,SBL.2,690.291,1572.195,851.113,135.614,63.309,77.95100000000001,141.26,550.504,261.096,474.1,-44.915,-201.436,151.417,1401.6170000000002,1895.7539,684.456,1401.6170000000002,1260.357
1817,SYMBOL TECHNOLOGIES,SBL.2,734.0310000000001,1646.5179999999998,788.221,99.012,63.169,120.241,183.41,742.057,212.862,536.2230000000001,3.295,-185.171,152.377,1530.2779999999998,3897.6546,725.92,1530.2779999999998,1346.868
1818,SYMBOL TECHNOLOGIES,SBL.2,742.7669999999999,1930.369,858.9639999999999,176.08700000000002,65.166,136.93,202.096,873.159,207.338,606.7819999999999,81.847,-98.866,113.658,1732.1229999999998,4191.3229,857.85,1732.1229999999998,1530.027
1819,SYMBOL TECHNOLOGIES,SBL.2,729.7189999999999,1816.305,906.999,44.45399999999999,68.249,97.17,165.419,858.632,182.201,497.4330000000001,32.247,-80.917,213.02,1765.631,3237.973,609.055,1765.631,1600.2120000000002
6984,SYMPHONIX DEVICES INC,3SMPX,15.607,17.934,2.312,1.508,0.7659999999999999,-16.442,-15.675999999999998,-1.981,0.662,4.351,-16.679000000000002,-48.885,0.1169999999999999,0.331,45.3701,7.279,0.331,16.007
6985,SYMPHONIX DEVICES INC,3SMPX,32.559,34.03,2.3280000000000003,1.0,0.7659999999999999,-17.62,-16.854,-1.081,2.0340000000000003,6.41,-17.157,-65.932,0.356,1.247,58.1615,8.511000000000001,1.247,18.101
6986,SYMPHONIX DEVICES INC,3SMPX,13.668,15.155,3.529,0.5,0.7509999999999999,-17.685,-16.934,-1.509,0.6559999999999999,4.635,-16.729,-82.455,0.3289999999999999,2.02,8.9088,5.867000000000001,2.02,18.954
6987,SYMPHONIX DEVICES INC,3SMPX,3.049,3.652,0.867,0.0,0.687,-7.642,-6.955,0.816,0.6759999999999999,1.48,-7.303999999999999,-89.954,0.175,1.683,2.1532,1.837,1.683,8.638
8036,SYMYX TECHNOLOGIES INC,SMMX,177.019,260.006,101.586,0.0,14.779000000000002,8.535,23.314,23.314,2.68,30.839,8.283999999999999,30.52,16.602,124.9,711.9303,31.63,124.9,101.586
8037,SYMYX TECHNOLOGIES INC,SMMX,86.52799999999999,314.982,121.843,0.0,17.236,-14.007,3.229,3.229,4.077,50.45,18.784,48.97,23.047,125.072,257.9635,62.74100000000001,125.072,121.843
8038,SYMYX TECHNOLOGIES INC,SMMX,96.065,224.514,156.006,0.0,24.62,-21.581,3.039,3.039,3.3080000000000003,54.672,-106.616,-55.641000000000005,18.542,159.045,202.0491,72.431,159.045,156.006
8039,SYMYX TECHNOLOGIES INC,SMMX,110.81,226.808,134.627,0.0,16.961,-1.142,15.819,15.819,1.956,53.419,-1.138,-56.794,17.641,150.446,190.806,70.074,150.446,134.627
3960,SYNAGRO TECHNOLOGIES INC,SYGR,72.37899999999999,490.677,216.275,269.133,18.626,37.581,56.207,82.277,0.0,51.862,7.278,-18.131,59.923,298.552,43.3094,340.356,298.552,242.345
3961,SYNAGRO TECHNOLOGIES INC,SYGR,84.764,510.784,238.266,248.799,19.902,43.35,63.252,87.598,10.693,73.845,12.954,-4.673,64.109,325.86400000000003,60.2224,346.93300000000005,325.86400000000003,262.612
3962,SYNAGRO TECHNOLOGIES INC,SYGR,113.191,543.306,254.35,279.951,21.667,37.507,59.174,83.654,13.568,56.932,-9.65,-13.445,66.429,338.004,307.999,359.152,338.004,278.83
3963,SYNAGRO TECHNOLOGIES INC,SYGR,91.82,550.625,256.466,278.599,23.211,34.744,57.955,89.34,6.86,62.889,8.003,-5.017,70.072,345.806,343.96,368.506,345.806,287.851
1824,SYNBIOTICS CORP,SYNB,9.877,26.502,11.143,6.032,0.5379999999999999,1.357,1.895,16.378,5.059,7.415,0.431,-32.142,2.983,27.521,1.9778,15.251,27.521,25.626
1825,SYNBIOTICS CORP,SYNB,9.435,15.436,9.935,4.516,0.515,-3.309,-2.794,11.736,5.438,6.394,-14.401,-46.09,2.455,21.671,1.167,12.872,21.671,24.465
1826,SYNBIOTICS CORP,SYNB,9.875,15.341,7.962999999999999,0.0,1.17,1.262,2.432,11.248,5.266,8.809,1.287,-44.522,2.6860000000000004,19.211,6.408,10.943,19.211,16.779
