,company_name,tic,current_assets,total_assets,cost_of_goods_sold,total_long_term_debt,depreciation_and_amortization,ebit,ebitda,gross_profit,inventory,total_current_liabilities,net_income,retained_earnings,total_receivables,total_revenue,market_value,total_liabilities,net_sales,total_operating_expenses
9402,THIRD WAVE TECHNOLOGIES INC,TWTI.1,44.965,58.405,3.4960000000000004,0.831,3.608,-23.034,-19.426,20.41,2.248,11.969,-22.346,-158.07299999999998,3.765,23.906,122.9041,18.331,23.906,43.332
9403,THIRD WAVE TECHNOLOGIES INC,TWTI.1,52.932,64.234,4.018,15.281,4.416,-20.317,-15.901,24.009,3.514,13.001,-18.887,-177.84,4.756,28.027,201.6256,33.096,28.027,43.928
9404,THIRD WAVE TECHNOLOGIES INC,TWTI.1,47.61600000000001,69.001,5.468999999999999,15.865,2.978,-31.234,-28.256,25.652,5.009,9.952,-16.849,-194.307,6.351,31.121,421.9463,39.197,31.121,59.377
2140,THOMAS & BETTS CORP,TNB,905.915,2567.786,1415.875,695.048,57.766000000000005,299.394,357.16,721.013,271.98900000000003,468.973,183.216,1015.474,280.948,2136.888,2843.7315,1338.852,2136.888,1779.7279999999998
2141,THOMAS & BETTS CORP,TNB,866.793,2410.6020000000003,1641.443,512.193,80.441,337.404,417.845,832.3810000000001,278.098,476.001,265.331,1070.312,229.16,2473.824,1280.0018,1265.945,2473.824,2055.979
2142,THOMAS & BETTS CORP,TNB,943.983,2453.407,1275.553,638.014,75.10600000000001,204.956,280.062,623.1469999999999,209.268,272.581,107.91,1272.195,197.64,1898.7,1882.5182,1112.198,1898.7,1618.638
2143,THOMAS & BETTS CORP,TNB,957.095,2632.393,1327.435,574.09,81.06,235.163,316.223,676.931,220.25,343.665,145.64,1427.303,230.203,2004.366,2504.9829,1165.611,2004.366,1688.1429999999998
2144,THOMAS & BETTS CORP,TNB,1143.933,2823.7209999999995,1524.44,574.4159999999999,84.346,291.29400000000004,375.64,773.091,236.409,346.88699999999994,190.153,1559.072,284.855,2297.531,2825.277,1221.434,2297.531,1921.891
2145,THOMAS INDUSTRIES INC,TII.1,63.817,308.12,112.928,40.727,7.907,23.919,31.826,75.896,22.288,33.185,30.085,126.095,22.255,188.824,349.9358,90.763,188.824,156.998
2146,THOMAS INDUSTRIES INC,TII.1,76.161,306.714,110.744,24.938,7.881,22.346,30.227,73.638,20.696,30.183000000000003,28.17,143.972,21.026,184.382,380.825,69.001,184.382,154.155
2147,THOMAS INDUSTRIES INC,TII.1,131.47799999999998,491.016,143.842,104.047,10.468,26.303,36.771,96.76,52.8,49.448,32.692,174.514,50.067,240.602,446.2775,176.615,240.602,203.831
2148,THOMAS INDUSTRIES INC,TII.1,155.622,575.044,231.625,102.673,15.207,27.999,43.206,145.149,65.895,60.041,37.314,240.264,52.819,376.774,599.1328,191.689,376.774,333.56800000000004
2149,THOMAS INDUSTRIES INC,TII.1,413.226,621.936,246.314,7.751,16.34,29.732,46.072,163.8,75.207,57.447,114.154,370.757,58.305,410.114,711.6538,95.003,410.114,364.042
7600,TIDELANDS OIL & GAS CORP,TIDE,0.266,1.379,0.764,0.0,0.0409999999999999,-3.108,-3.067,-0.054,0.012,2.196,-4.061,-9.267,0.016,0.71,8.7576,3.915,0.71,3.777
7601,TIDELANDS OIL & GAS CORP,TIDE,0.917,1.624,0.0279999999999999,0.0,0.043,-2.829,-2.786,0.151,0.0,1.139,-1.348,-10.615,0.0,0.179,91.8913,1.139,0.179,2.965
7602,TIDELANDS OIL & GAS CORP,TIDE,6.57,17.223,1.609,11.732,0.245,-6.266,-6.021,0.275,0.083,0.574,-6.517,-17.132,0.516,1.884,77.0038,12.306,1.884,7.905
7603,TIDELANDS OIL & GAS CORP,TIDE,1.909,13.489,1.598,4.272,0.486,-8.256,-7.77,0.263,0.142,1.45,-7.662999999999999,-32.58,0.469,1.861,69.0765,5.722,1.861,9.631
7604,TIDELANDS OIL & GAS CORP,TIDE,0.989,15.187,1.594,8.934,0.466,-6.283,-5.817,0.629,0.084,4.1,-11.837,-44.417,0.389,2.2230000000000003,22.9114,13.034,2.2230000000000003,8.04
2155,TIDELANDS ROYALTY TRUST B,TIRTZ,0.777,1.489,0.11,0.0,0.0,1.255,1.255,1.255,0.0,0.341,1.271,1.148,0.171,1.365,9.7784,0.341,1.365,0.11
2156,TIDELANDS ROYALTY TRUST B,TIRTZ,1.604,1.804,0.119,0.0,0.0,1.257,1.257,1.257,0.0,0.345,1.264,1.459,0.397,1.376,10.395,0.345,1.376,0.119
2157,TIDELANDS ROYALTY TRUST B,TIRTZ,1.797,1.797,0.141,0.0,0.0,2.222,2.222,2.222,0.0,0.76,2.241,1.037,0.135,2.363,21.483,0.76,2.363,0.141
2158,TIDELANDS ROYALTY TRUST B,TIRTZ,2.6660000000000004,2.6660000000000004,0.136,0.0,0.0,1.889,1.889,1.889,0.0,0.7559999999999999,1.912,1.91,0.831,2.025,19.1268,0.7559999999999999,2.025,0.136
