,company_name,tic,current_assets,total_assets,cost_of_goods_sold,total_long_term_debt,depreciation_and_amortization,ebit,ebitda,gross_profit,inventory,total_current_liabilities,net_income,retained_earnings,total_receivables,total_revenue,market_value,total_liabilities,net_sales,total_operating_expenses
4484,SYRATECH CORP,SYRA,104.895,118.604,137.995,118.271,6.641,1.604,8.245,64.957,37.5,40.113,-31.608,-94.399,31.543000000000003,202.952,1.5136,174.416,202.952,194.707
3745,SYS,SYS.5,6.597,7.671,20.325,1.161,0.243,0.674,0.917,4.442,0.0,3.431,-0.792,0.299,6.127000000000001,24.767,9.7506,4.592,24.767,23.85
3746,SYS,SYS.5,10.719,17.717,28.402,3.55,0.347,2.043,2.39,6.492999999999999,0.0,5.53,0.992,1.205,8.118,34.895,23.4726,9.369,34.895,32.505
3747,SYS,SYS.5,14.74,24.755,37.226,2.4090000000000003,0.6920000000000001,2.794,3.486,8.543,0.0969999999999999,6.689,1.4069999999999998,2.612,10.992,45.769,27.6198,9.351,45.769,42.283
3748,SYS,SYS.5,17.992,42.206,44.143,3.875,1.3219999999999998,-0.795,0.527,11.718,0.5579999999999999,10.725,-1.743,0.8690000000000001,14.802,55.861,44.3702,14.699000000000002,55.861,55.334
3749,SYS,SYS.5,20.568,52.383,56.027,3.625,1.972,-1.666,0.306,19.771,0.599,12.377,-1.693,-0.8240000000000001,16.320999999999998,75.798,37.887,17.304000000000002,75.798,75.492
2050,SYSTEMS & COMPUTER TECH CORP,SCTC.,203.105,335.052,298.217,78.232,13.589,41.56,55.149,166.34099999999998,0.0,68.544,19.299,103.2,148.967,464.5580000000001,403.1558,146.776,464.5580000000001,409.409
2051,SYSTEMS & COMPUTER TECH CORP,SCTC.,230.499,368.1230000000001,273.274,77.521,14.922,16.999000000000002,31.921,153.895,0.0,87.135,8.628,111.339,138.965,427.169,572.9239,166.68599999999995,427.169,395.2480000000001
2052,SYSTEMS & COMPUTER TECH CORP,SCTC.,271.971,387.841,198.543,74.723,22.2,9.015,31.215,141.131,0.0,87.973,14.818,126.357,88.68,339.67400000000004,297.036,166.44400000000005,339.67400000000004,308.459
2053,SYSTEMS & COMPUTER TECH CORP,SCTC.,248.508,366.647,126.134,74.723,17.94,23.596,41.536,107.423,0.0,70.441,-9.075,117.039,77.824,233.557,234.129,148.076,233.557,192.021
